GEO_ID|B19013_E001|B19013_M001
0100000US|80734|166
0100089US|59300|550
0100090US|52188|17624
0100091US|63629|420
0100092US|87690|2500
0100093US|85591|1267
0100094US|59502|697
0100095US|103661|5770
01000A0US|82211|174
01000C0US|84370|187
01000C1US|75236|217
01000C2US|90632|183
01000E0US|64243|226
01000E1US|56166|277
01000E2US|68855|253
01000G0US|59882|156
01000H0US|62348|132
010C201US|81762|184
010C243US|76850|152
0200000US1|88896|285
0200000US2|75973|166
0200000US3|74552|178
0200000US4|91752|214
02000A0US1|89716|295
02000A0US2|77299|183
02000A0US3|76282|200
02000A0US4|92578|241
02000C0US1|91369|288
02000C0US2|79181|203
02000C0US3|78552|208
02000C0US4|94400|251
02000C1US1|72382|393
02000C1US2|66383|225
02000C1US3|70329|218
02000C1US4|91004|280
02000C2US1|101287|275
02000C2US2|87375|219
02000C2US3|84090|242
02000C2US4|97814|281
02000E0US1|71522|400
02000E0US2|67059|279
02000E0US3|57461|273
02000E0US4|70913|454
02000E1US1|59279|971
02000E1US2|58025|436
02000E1US3|50213|382
02000E1US4|64545|598
02000E2US1|74903|472
02000E2US2|73520|280
02000E2US3|61144|304
02000E2US4|74540|540
02000G0US1|66085|649
02000G0US2|64560|235
02000G0US3|53709|232
02000G0US4|65781|552
02000H0US1|70042|345
02000H0US2|66022|195
02000H0US3|55775|201
02000H0US4|69306|380
020C201US1|88695|338
020C201US2|74641|191
020C201US3|76188|209
020C201US4|92707|252
020C243US1|89775|353
020C243US2|79812|192
020C243US3|69652|245
020C243US4|84641|360
0300000US1|95688|345
0300000US2|86501|293
0300000US3|75405|209
0300000US4|77172|191
0300000US5|78383|243
0300000US6|64794|234
0300000US7|73500|201
0300000US8|82795|262
0300000US9|97239|265
03000A0US1|97498|375
03000A0US2|87021|301
03000A0US3|76318|223
03000A0US4|79690|237
03000A0US5|79856|248
03000A0US6|67017|261
03000A0US7|74915|222
03000A0US8|84035|277
03000A0US9|97681|276
03000C0US1|99023|398
03000C0US2|88824|335
03000C0US3|77895|241
03000C0US4|82468|289
03000C0US5|81527|249
03000C0US6|70577|309
03000C0US7|76849|238
03000C0US8|85690|279
03000C0US9|99194|282
03000C1US1|79906|763
03000C1US2|70601|415
03000C1US3|63771|319
03000C1US4|71836|316
03000C1US5|74567|279
03000C1US6|62101|365
03000C1US7|68615|311
03000C1US8|80028|357
03000C1US9|97765|376
03000C2US1|105689|497
03000C2US2|99558|312
03000C2US3|86114|260
03000C2US4|91329|363
03000C2US5|84806|284
03000C2US6|76846|423
03000C2US7|86200|354
03000C2US8|92131|397
03000C2US9|100482|323
03000E0US1|83628|981
03000E0US2|66331|418
03000E0US3|66845|309
03000E0US4|67437|453
03000E0US5|59673|473
03000E0US6|54644|463
03000E0US7|57646|479
03000E0US8|70759|614
03000E0US9|71102|707
03000E1US1|69793|1951
03000E1US2|54510|950
03000E1US3|55344|480
03000E1US4|61155|551
03000E1US5|50094|837
03000E1US6|48718|704
03000E1US7|51491|601
03000E1US8|64086|797
03000E1US9|65247|951
03000E2US1|88265|1030
03000E2US2|69500|507
03000E2US3|73052|347
03000E2US4|74781|523
03000E2US5|62689|603
03000E2US6|57798|555
03000E2US7|62281|527
03000E2US8|75444|928
03000E2US9|73741|790
03000G0US1|67268|1167
03000G0US2|65112|662
03000G0US3|64155|341
03000G0US4|64928|331
03000G0US5|54762|465
03000G0US6|50190|523
03000G0US7|55644|446
03000G0US8|63006|741
03000G0US9|71250|987
03000H0US1|77319|703
03000H0US2|66038|363
03000H0US3|65905|216
03000H0US4|66185|284
03000H0US5|57437|372
03000H0US6|52785|335
03000H0US7|56706|324
03000H0US8|67887|464
03000H0US9|71141|620
030C201US1|94437|441
030C201US2|86781|342
030C201US3|73888|226
030C201US4|76509|260
030C201US5|80113|251
030C201US6|65840|339
030C201US7|73925|228
030C201US8|83414|286
030C201US9|98085|284
030C243US1|100207|708
030C243US2|85075|391
030C243US3|80476|244
030C243US4|78712|308
030C243US5|72084|338
030C243US6|63243|348
030C243US7|71896|336
030C243US8|79505|533
030C243US9|89348|502
0400000US01|63999|399
0400000US02|92788|1232
0400000US04|79964|407
0400000US05|60773|467
0400000US06|99122|310
0400000US08|95470|578
0400000US09|95781|732
0400000US10|84954|1251
0400000US11|109870|1937
0400000US12|74568|284
0400000US13|77353|407
0400000US15|100389|1121
0400000US16|77800|743
0400000US17|83390|362
0400000US18|71957|352
0400000US19|75059|418
0400000US20|74275|475
0400000US21|63726|429
0400000US22|60756|408
0400000US23|74733|795
0400000US24|103678|597
0400000US25|103960|527
0400000US26|72875|293
0400000US27|89062|409
0400000US28|56447|539
0400000US29|70702|325
0400000US30|72509|761
0400000US31|76475|633
0400000US32|78260|596
0400000US33|99031|1123
0400000US34|103556|513
0400000US35|64059|808
0400000US36|85974|402
0400000US37|72388|324
0400000US38|76657|1163
0400000US39|71389|321
0400000US40|65039|439
0400000US41|83011|573
0400000US42|77971|342
0400000US44|87796|1209
0400000US45|69324|570
0400000US46|75081|888
0400000US47|69595|429
0400000US48|78476|263
0400000US49|95166|774
0400000US50|81203|1339
0400000US51|93170|458
0400000US53|98141|414
0400000US54|59608|691
0400000US55|77485|455
0400000US56|76176|1168
0400000US72|26297|261
04000A0US01|65448|449
04000A0US02|97969|1586
04000A0US04|80412|408
04000A0US05|63927|691
04000A0US06|99385|314
04000A0US08|97381|580
04000A0US09|95781|732
04000A0US10|84954|1251
04000A0US11|109870|1937
04000A0US12|74887|286
04000A0US13|79055|419
04000A0US15|100389|1121
04000A0US16|79338|836
04000A0US17|84693|381
04000A0US18|72391|375
04000A0US19|77004|465
04000A0US20|76565|576
04000A0US21|66854|486
04000A0US22|61830|417
04000A0US23|80731|1176
04000A0US24|104208|614
04000A0US25|103960|527
04000A0US26|74109|316
04000A0US27|91247|438
04000A0US28|58855|588
04000A0US29|73134|335
04000A0US30|76685|926
04000A0US31|78904|830
04000A0US32|78362|624
04000A0US33|101059|1198
04000A0US34|103556|513
04000A0US35|65089|820
04000A0US36|86498|408
04000A0US37|73740|337
04000A0US38|77653|1251
04000A0US39|71732|332
04000A0US40|66887|482
04000A0US41|83409|567
04000A0US42|78488|351
04000A0US44|87796|1209
04000A0US45|71099|502
04000A0US46|77191|1098
04000A0US47|71289|420
04000A0US48|79308|282
04000A0US49|96414|805
04000A0US50|82796|1507
04000A0US51|97655|494
04000A0US53|98928|418
04000A0US54|62821|747
04000A0US55|78855|484
04000A0US56|77282|1492
04000A0US72|26515|267
04000C0US01|67405|535
04000C0US02|97895|1582
04000C0US04|81316|413
04000C0US05|67679|763
04000C0US06|100000|314
04000C0US08|98864|583
04000C0US09|96040|761
04000C0US10|86964|1530
04000C0US11|109870|1937
04000C0US12|75149|306
04000C0US13|81863|465
04000C0US15|104671|1321
04000C0US16|81640|940
04000C0US17|87013|412
04000C0US18|73512|414
04000C0US19|79161|612
04000C0US20|79770|715
04000C0US21|71754|541
04000C0US22|63598|597
04000C0US23|82741|1261
04000C0US24|105594|744
04000C0US25|104301|536
04000C0US26|75142|366
04000C0US27|94912|541
04000C0US28|63822|795
04000C0US29|75472|407
04000C0US30|78471|1251
04000C0US31|81907|879
04000C0US32|78358|637
04000C0US33|106534|1257
04000C0US34|103556|513
04000C0US35|68200|964
04000C0US36|88011|469
04000C0US37|76862|427
04000C0US38|77037|1377
04000C0US39|72891|341
04000C0US40|69828|637
