GEO_ID|B25077_E001|B25077_M001
0100000US|332700|236
0100089US|185900|2853
0100090US|333500|41639
0100091US|188300|1203
0100092US|640700|11780
0100093US|319400|3514
0100094US|183200|2086
0100095US|472300|13494
01000A0US|345500|241
01000C0US|362600|252
01000C1US|365000|554
01000C2US|361700|299
01000E0US|207300|496
01000E1US|187600|944
01000E2US|215500|515
01000G0US|170300|377
01000H0US|192000|355
010C201US|361100|273
010C243US|248900|339
0200000US1|381100|595
0200000US2|241000|331
0200000US3|290100|393
0200000US4|558300|658
02000A0US1|387900|613
02000A0US2|249100|375
02000A0US3|302100|421
02000A0US4|568900|657
02000C0US1|406400|784
02000C0US2|262600|472
02000C0US3|317200|413
02000C0US4|588600|678
02000C1US1|430000|2844
02000C1US2|234200|552
02000C1US3|301500|870
02000C1US4|591900|1341
02000C2US1|402900|743
02000C2US2|275600|471
02000C2US3|323700|437
02000C2US4|586400|801
02000E0US1|212300|1075
02000E0US2|184200|699
02000E0US3|181900|790
02000E0US4|365700|1979
02000E1US1|174900|2827
02000E1US2|164100|831
02000E1US3|175500|1529
02000E1US4|324500|2958
02000E2US1|219300|984
02000E2US2|199000|857
02000E2US3|184700|941
02000E2US4|389200|2932
02000G0US1|204900|1733
02000G0US2|164000|453
02000G0US3|155100|592
02000G0US4|303000|2439
02000H0US1|210200|1058
02000H0US2|174000|331
02000H0US3|168800|391
02000H0US4|346600|1427
020C201US1|411800|787
020C201US2|246700|389
020C201US3|318000|431
020C201US4|578000|735
020C243US1|289200|828
020C243US2|227100|487
020C243US3|222000|635
020C243US4|452300|1611
0300000US1|434600|1068
0300000US2|355800|716
0300000US3|236300|341
0300000US4|251800|731
0300000US5|335200|432
0300000US6|225800|692
0300000US7|254300|671
0300000US8|430600|607
0300000US9|666200|841
03000A0US1|445300|1071
03000A0US2|361600|738
03000A0US3|241600|373
03000A0US4|270800|634
03000A0US5|344600|488
03000A0US6|239200|743
03000A0US7|264200|661
03000A0US8|438000|608
03000A0US9|672400|837
03000C0US1|460000|1143
03000C0US2|381700|820
03000C0US3|252200|557
03000C0US4|286600|729
03000C0US5|354500|488
03000C0US6|258400|1069
03000C0US7|275500|688
03000C0US8|448600|655
03000C0US9|688900|838
03000C1US1|415500|3634
03000C1US2|438800|4386
03000C1US3|220200|693
03000C1US4|260800|1103
03000C1US5|354800|1116
03000C1US6|257200|1868
03000C1US7|262800|1096
03000C1US8|435000|1059
03000C1US9|735300|1694
03000C2US1|467500|1227
03000C2US2|373900|667
03000C2US3|266300|599
03000C2US4|300900|958
03000C2US5|354400|491
03000C2US6|258900|1351
